OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
130059,5,5,15,0,2019,12,12,6,3,0,1,0,1,0,0,0,0,0,1,"407068,604020216500000","5757437,696162127000000","7,647491556000034","51,959860189000040"
130064,5,5,15,0,2019,12,14,2,3,5,3,0,1,0,0,0,0,0,0,"404657,608373337430000","5758307,426754081600000","7,612171844000045","51,967269457000043"
130248,5,5,15,0,2019,12,7,5,3,5,2,1,1,1,0,0,0,0,0,"401648,180000000630000","5755592,414000000800000","7,569157521000022","51,942342003000078"
130249,5,5,15,0,2019,12,18,5,2,5,3,2,1,1,0,0,0,0,0,"406128,462000002150000","5757704,004999999000000","7,633740283000066","51,962095966000049"
130500,5,5,15,0,2019,12,9,6,3,5,3,0,1,1,0,0,0,0,0,"405927,821000002320000","5756686,611999999700000","7,631099531000075","51,952917262000028"
130501,5,5,15,0,2019,12,15,6,3,5,3,0,1,1,0,0,0,0,1,"405971,441699692980000","5756361,537589373100000","7,631823028000042","51,950002718000064"
130503,5,5,15,0,2019,12,11,6,3,5,2,0,1,0,0,0,0,1,0,"406124,492908835410000","5756700,176101796300000","7,633956836000039","51,953072415000065"
130505,5,5,15,0,2019,12,7,6,3,5,2,1,1,1,0,0,0,0,0,"406657,653000000860000","5757654,217000002000000","7,641453614000056","51,961737546000052"
130506,5,5,15,0,2019,12,18,6,3,0,5,2,1,0,0,0,0,1,1,"405609,347764409150000","5756969,282573679500000","7,626389023000058","51,955404070000043"
130508,5,5,15,0,2019,12,15,6,3,5,2,0,1,1,0,0,0,0,1,"405259,542502204890000","5756956,250351112300000","7,621303699000066","51,955227446000038"
131147,5,5,15,0,2019,12,11,7,3,5,3,0,1,1,0,0,0,0,0,"409877,658217363990000","5761081,471400653900000","7,687405369000032","51,993075167000029"
233136,5,5,15,0,2019,1,8,2,2,5,3,0,1,1,0,0,0,0,1,"405274,115000002090000","5758607,161000000300000","7,621060354000065","51,970068991000062"
